date,team_1,team_2,team_1_score,team_2_score,tournament,winner
02-07-2024,Costa Rica,Paraguay,2.0,1.0,Copa América,Costa Rica
04-07-2024,Argentina,Ecuador,1.0,1.0,Copa América,Draw
05-07-2024,Germany,Spain,1.0,2.0,UEFA Euro,Spain
05-07-2024,Portugal,France,0.0,0.0,UEFA Euro,Draw
05-07-2024,Venezuela,Canada,1.0,1.0,Copa América,Draw
06-07-2024,England,Switzerland,1.0,1.0,UEFA Euro,Draw
06-07-2024,Netherlands,Turkey,2.0,1.0,UEFA Euro,Netherlands
06-07-2024,Uruguay,Brazil,0.0,0.0,Copa América,Draw
06-07-2024,Colombia,Panama,5.0,0.0,Copa América,Colombia
09-07-2024,Spain,France,2.0,1.0,UEFA Euro,Spain
09-07-2024,Argentina,Canada,2.0,0.0,Copa América,Argentina
10-07-2024,Netherlands,England,1.0,2.0,UEFA Euro,England
10-07-2024,Uruguay,Colombia,0.0,1.0,Copa América,Colombia
13-07-2024,Canada,Uruguay,2.0,2.0,Copa América,Draw
14-07-2024,Spain,England,2.0,1.0,UEFA Euro,Spain
14-07-2024,Argentina,Colombia,1.0,0.0,Copa América,Argentina
27-07-2024,Jordan,North Korea,0.0,0.0,Friendly,Draw
29-08-2024,Jordan,North Korea,2.0,1.0,Friendly,Jordan
01-09-2024,Guatemala,Uruguay,1.0,1.0,Friendly,Draw
05-09-2024,Tunisia,Madagascar,1.0,0.0,African Cup of Nations qualification,Tunisia
05-09-2024,Algeria,Equatorial Guinea,2.0,0.0,African Cup of Nations qualification,Algeria
05-09-2024,Ghana,Angola,0.0,1.0,African Cup of Nations qualification,Angola
05-09-2024,Portugal,Croatia,2.0,1.0,UEFA Nations League,Portugal
05-09-2024,Scotland,Poland,2.0,3.0,UEFA Nations League,Poland
05-09-2024,Denmark,Switzerland,2.0,0.0,UEFA Nations League,Denmark
05-09-2024,Serbia,Spain,0.0,0.0,UEFA Nations League,Draw
05-09-2024,Azerbaijan,Sweden,1.0,3.0,UEFA Nations League,Sweden
05-09-2024,Argentina,Chile,3.0,0.0,FIFA World Cup qualification,Argentina
05-09-2024,Qatar,United Arab Emirates,1.0,3.0,FIFA World Cup qualification,United Arab Emirates
05-09-2024,Uzbekistan,North Korea,1.0,0.0,FIFA World Cup qualification,Uzbekistan
05-09-2024,Iran,Kyrgyzstan,1.0,0.0,FIFA World Cup qualification,Iran
05-09-2024,Iraq,Oman,1.0,0.0,FIFA World Cup qualification,Iraq
05-09-2024,South Korea,Palestine,0.0,0.0,FIFA World Cup qualification,Draw
05-09-2024,Jordan,Kuwait,1.0,1.0,FIFA World Cup qualification,Draw
05-09-2024,Japan,China,7.0,0.0,FIFA World Cup qualification,Japan
05-09-2024,Australia,Bahrain,0.0,1.0,FIFA World Cup qualification,Bahrain
05-09-2024,Saudi Arabia,Indonesia,1.0,1.0,FIFA World Cup qualification,Draw
06-09-2024,Morocco,Gabon,4.0,1.0,African Cup of Nations qualification,Morocco
06-09-2024,Egypt,Cape Verde,3.0,0.0,African Cup of Nations qualification,Egypt
06-09-2024,Ivory Coast,Zambia,2.0,0.0,African Cup of Nations qualification,Ivory Coast
06-09-2024,DR Congo,Guinea,1.0,0.0,African Cup of Nations qualification,DR Congo
06-09-2024,South Africa,Uganda,2.0,2.0,African Cup of Nations qualification,Draw
06-09-2024,Senegal,Burkina Faso,1.0,1.0,African Cup of Nations qualification,Draw
06-09-2024,Saint Lucia,Curaçao,2.0,1.0,CONCACAF Nations League,Saint Lucia
06-09-2024,Puerto Rico,Haiti,1.0,4.0,CONCACAF Nations League,Haiti
06-09-2024,Belgium,Israel,3.0,1.0,UEFA Nations League,Belgium
06-09-2024,France,Italy,1.0,3.0,UEFA Nations League,Italy
06-09-2024,Kazakhstan,Norway,0.0,0.0,UEFA Nations League,Draw
06-09-2024,Slovenia,Austria,1.0,1.0,UEFA Nations League,Draw
06-09-2024,Wales,Turkey,0.0,0.0,UEFA Nations League,Draw
06-09-2024,Peru,Colombia,1.0,1.0,FIFA World Cup qualification,Draw
06-09-2024,Uruguay,Paraguay,0.0,0.0,FIFA World Cup qualification,Draw
06-09-2024,Brazil,Ecuador,1.0,0.0,FIFA World Cup qualification,Brazil
07-09-2024,Mexico,New Zealand,3.0,0.0,Friendly,Mexico
07-09-2024,United States,Canada,1.0,2.0,Friendly,Canada
07-09-2024,Germany,Hungary,5.0,0.0,UEFA Nations League,Germany
07-09-2024,Netherlands,Bosnia and Herzegovina,5.0,2.0,UEFA Nations League,Netherlands
07-09-2024,Georgia,Czech Republic,4.0,1.0,UEFA Nations League,Georgia
07-09-2024,Republic of Ireland,England,0.0,2.0,UEFA Nations League,England
08-09-2024,Gambia,Tunisia,1.0,2.0,African Cup of Nations qualification,Tunisia
08-09-2024,Portugal,Scotland,2.0,1.0,UEFA Nations League,Portugal
08-09-2024,Croatia,Poland,1.0,0.0,UEFA Nations League,Croatia
08-09-2024,Switzerland,Spain,1.0,4.0,UEFA Nations League,Spain
08-09-2024,Sweden,Estonia,3.0,0.0,UEFA Nations League,Sweden
09-09-2024,Morocco,Lesotho,1.0,0.0,African Cup of Nations qualification,Morocco
09-09-2024,Niger,Ghana,1.0,1.0,African Cup of Nations qualification,Draw
09-09-2024,Ethiopia,DR Congo,0.0,2.0,African Cup of Nations qualification,DR Congo
09-09-2024,Burundi,Senegal,0.0,1.0,African Cup of Nations qualification,Senegal
09-09-2024,Curaçao,Saint Martin,4.0,0.0,CONCACAF Nations League,Curaçao
09-09-2024,Haiti,Sint Maarten,6.0,0.0,CONCACAF Nations League,Haiti
09-09-2024,France,Belgium,2.0,0.0,UEFA Nations League,France
09-09-2024,Norway,Austria,2.0,1.0,UEFA Nations League,Norway
09-09-2024,Turkey,Iceland,3.0,1.0,UEFA Nations League,Turkey
10-09-2024,Mexico,Canada,0.0,0.0,Friendly,Draw
10-09-2024,United States,New Zealand,1.0,1.0,Friendly,Draw
10-09-2024,Botswana,Egypt,0.0,4.0,African Cup of Nations qualification,Egypt
10-09-2024,Cape Verde,Mauritania,2.0,0.0,African Cup of Nations qualification,Cape Verde
10-09-2024,Liberia,Algeria,0.0,3.0,African Cup of Nations qualification,Algeria
10-09-2024,Chad,Ivory Coast,0.0,2.0,African Cup of Nations qualification,Ivory Coast
10-09-2024,South Sudan,South Africa,2.0,3.0,African Cup of Nations qualification,South Africa
10-09-2024,Hungary,Bosnia and Herzegovina,0.0,0.0,UEFA Nations League,Draw
10-09-2024,Netherlands,Germany,2.0,2.0,UEFA Nations League,Draw
10-09-2024,Czech Republic,Ukraine,3.0,2.0,UEFA Nations League,Czech Republic
10-09-2024,England,Finland,2.0,0.0,UEFA Nations League,England
10-09-2024,Colombia,Argentina,2.0,1.0,FIFA World Cup qualification,Colombia
10-09-2024,Ecuador,Peru,1.0,0.0,FIFA World Cup qualification,Ecuador
10-09-2024,Venezuela,Uruguay,0.0,0.0,FIFA World Cup qualification,Draw
10-09-2024,Paraguay,Brazil,1.0,0.0,FIFA World Cup qualification,Paraguay
10-09-2024,North Korea,Qatar,2.0,2.0,FIFA World Cup qualification,Draw
10-09-2024,Kyrgyzstan,Uzbekistan,2.0,3.0,FIFA World Cup qualification,Uzbekistan
10-09-2024,United Arab Emirates,Iran,0.0,1.0,FIFA World Cup qualification,Iran
10-09-2024,Oman,South Korea,1.0,3.0,FIFA World Cup qualification,South Korea
10-09-2024,Kuwait,Iraq,0.0,0.0,FIFA World Cup qualification,Draw
10-09-2024,Palestine,Jordan,1.0,3.0,FIFA World Cup qualification,Jordan
10-09-2024,Bahrain,Japan,0.0,5.0,FIFA World Cup qualification,Japan
10-09-2024,Indonesia,Australia,0.0,0.0,FIFA World Cup qualification,Draw
10-09-2024,China,Saudi Arabia,1.0,2.0,FIFA World Cup qualification,Saudi Arabia
10-10-2024,Cape Verde,Botswana,0.0,1.0,African Cup of Nations qualification,Botswana
10-10-2024,Algeria,Togo,5.0,1.0,African Cup of Nations qualification,Algeria
10-10-2024,Ghana,Sudan,0.0,0.0,African Cup of Nations qualification,Draw
10-10-2024,DR Congo,Tanzania,1.0,0.0,African Cup of Nations qualification,DR Congo
10-10-2024,Israel,France,1.0,4.0,UEFA Nations League,France
10-10-2024,Italy,Belgium,2.0,2.0,UEFA Nations League,Draw
10-10-2024,England,Greece,1.0,2.0,UEFA Nations League,Greece
10-10-2024,Austria,Kazakhstan,4.0,0.0,UEFA Nations League,Austria
10-10-2024,Norway,Slovenia,3.0,0.0,UEFA Nations League,Norway
10-10-2024,Bolivia,Colombia,1.0,0.0,FIFA World Cup qualification,Bolivia
10-10-2024,Ecuador,Paraguay,0.0,0.0,FIFA World Cup qualification,Draw
10-10-2024,Venezuela,Argentina,1.0,1.0,FIFA World Cup qualification,Draw
10-10-2024,Chile,Brazil,1.0,2.0,FIFA World Cup qualification,Brazil
10-10-2024,Qatar,Kyrgyzstan,3.0,1.0,FIFA World Cup qualification,Qatar
10-10-2024,Uzbekistan,Iran,0.0,0.0,FIFA World Cup qualification,Draw
10-10-2024,Jordan,South Korea,0.0,2.0,FIFA World Cup qualification,South Korea
10-10-2024,Iraq,Palestine,1.0,0.0,FIFA World Cup qualification,Iraq
10-10-2024,Australia,China,3.0,1.0,FIFA World Cup qualification,Australia
10-10-2024,Saudi Arabia,Japan,0.0,2.0,FIFA World Cup qualification,Japan
11-10-2024,Tunisia,Comoros,0.0,1.0,African Cup of Nations qualification,Comoros
11-10-2024,Egypt,Mauritania,2.0,0.0,African Cup of Nations qualification,Egypt
11-10-2024,Ivory Coast,Sierra Leone,4.0,1.0,African Cup of Nations qualification,Ivory Coast
11-10-2024,South Africa,Congo,5.0,0.0,African Cup of Nations qualification,South Africa
11-10-2024,Senegal,Malawi,4.0,0.0,African Cup of Nations qualification,Senegal
11-10-2024,Grenada,Curaçao,0.0,0.0,CONCACAF Nations League,Draw
11-10-2024,Aruba,Haiti,1.0,3.0,CONCACAF Nations League,Haiti
11-10-2024,Bosnia and Herzegovina,Germany,1.0,2.0,UEFA Nations League,Germany
11-10-2024,Hungary,Netherlands,1.0,1.0,UEFA Nations League,Draw
11-10-2024,Czech Republic,Albania,2.0,0.0,UEFA Nations League,Czech Republic
11-10-2024,Turkey,Montenegro,1.0,0.0,UEFA Nations League,Turkey
11-10-2024,Slovakia,Sweden,2.0,2.0,UEFA Nations League,Draw
11-10-2024,Peru,Uruguay,1.0,0.0,FIFA World Cup qualification,Peru
11-10-2024,New Zealand,Tahiti,3.0,0.0,FIFA World Cup qualification,New Zealand
12-10-2024,United States,Panama,2.0,0.0,Friendly,United States
12-10-2024,Morocco,Central African Republic,5.0,0.0,African Cup of Nations qualification,Morocco
12-10-2024,Croatia,Scotland,2.0,1.0,UEFA Nations League,Croatia
12-10-2024,Poland,Portugal,1.0,3.0,UEFA Nations League,Portugal
12-10-2024,Serbia,Switzerland,2.0,0.0,UEFA Nations League,Serbia
12-10-2024,Spain,Denmark,1.0,0.0,UEFA Nations League,Spain
13-10-2024,Finland,England,1.0,3.0,UEFA Nations League,England
13-10-2024,Austria,Norway,5.0,1.0,UEFA Nations League,Austria
14-10-2024,New Zealand,Malaysia,4.0,0.0,Friendly,New Zealand
14-10-2024,Togo,Algeria,0.0,1.0,African Cup of Nations qualification,Algeria
14-10-2024,Curaçao,Grenada,1.0,0.0,CONCACAF Nations League,Curaçao
14-10-2024,Aruba,Haiti,3.0,5.0,CONCACAF Nations League,Haiti
14-10-2024,Belgium,France,1.0,2.0,UEFA Nations League,France
14-10-2024,Bosnia and Herzegovina,Hungary,0.0,2.0,UEFA Nations League,Hungary
14-10-2024,Germany,Netherlands,1.0,0.0,UEFA Nations League,Germany
14-10-2024,Ukraine,Czech Republic,1.0,1.0,UEFA Nations League,Draw
14-10-2024,Iceland,Turkey,2.0,4.0,UEFA Nations League,Turkey
14-10-2024,Estonia,Sweden,0.0,3.0,UEFA Nations League,Sweden
15-10-2024,Canada,Panama,2.0,1.0,Friendly,Canada
15-10-2024,Mexico,United States,2.0,0.0,Friendly,Mexico
15-10-2024,Comoros,Tunisia,1.0,1.0,African Cup of Nations qualification,Draw
15-10-2024,Morocco,Central African Republic,4.0,0.0,African Cup of Nations qualification,Morocco
15-10-2024,Mauritania,Egypt,0.0,1.0,African Cup of Nations qualification,Egypt
15-10-2024,Botswana,Cape Verde,1.0,0.0,African Cup of Nations qualification,Botswana
15-10-2024,Sudan,Ghana,2.0,0.0,African Cup of Nations qualification,Sudan
15-10-2024,Sierra Leone,Ivory Coast,1.0,0.0,African Cup of Nations qualification,Sierra Leone
15-10-2024,Tanzania,DR Congo,0.0,2.0,African Cup of Nations qualification,DR Congo
15-10-2024,Congo,South Africa,1.0,1.0,African Cup of Nations qualification,Draw
15-10-2024,Malawi,Senegal,0.0,1.0,African Cup of Nations qualification,Senegal
15-10-2024,Scotland,Portugal,0.0,0.0,UEFA Nations League,Draw
15-10-2024,Poland,Croatia,3.0,3.0,UEFA Nations League,Draw
15-10-2024,Spain,Serbia,3.0,0.0,UEFA Nations League,Spain
15-10-2024,Switzerland,Denmark,2.0,2.0,UEFA Nations League,Draw
15-10-2024,Colombia,Chile,4.0,0.0,FIFA World Cup qualification,Colombia
15-10-2024,Paraguay,Venezuela,2.0,1.0,FIFA World Cup qualification,Paraguay
15-10-2024,Uruguay,Ecuador,0.0,0.0,FIFA World Cup qualification,Draw
15-10-2024,Argentina,Bolivia,6.0,0.0,FIFA World Cup qualification,Argentina
15-10-2024,Brazil,Peru,4.0,0.0,FIFA World Cup qualification,Brazil
15-10-2024,Uzbekistan,United Arab Emirates,1.0,0.0,FIFA World Cup qualification,Uzbekistan
15-10-2024,Iran,Qatar,4.0,1.0,FIFA World Cup qualification,Iran
15-10-2024,Jordan,Oman,4.0,0.0,FIFA World Cup qualification,Jordan
15-10-2024,South Korea,Iraq,3.0,2.0,FIFA World Cup qualification,South Korea
15-10-2024,Japan,Australia,1.0,1.0,FIFA World Cup qualification,Draw
15-10-2024,Saudi Arabia,Bahrain,0.0,0.0,FIFA World Cup qualification,Draw
14-11-2024,Belgium,Italy,0.0,1.0,UEFA Nations League,Italy
14-11-2024,France,Israel,0.0,0.0,UEFA Nations League,Draw
14-11-2024,Greece,England,0.0,3.0,UEFA Nations League,England
14-11-2024,Kazakhstan,Austria,0.0,2.0,UEFA Nations League,Austria
14-11-2024,Slovenia,Norway,1.0,4.0,UEFA Nations League,Norway
14-11-2024,Costa Rica,Panama,0.0,1.0,CONCACAF Nations League,Panama
14-11-2024,Venezuela,Brazil,1.0,1.0,FIFA World Cup qualification,Draw
14-11-2024,Ecuador,Bolivia,4.0,0.0,FIFA World Cup qualification,Ecuador
14-11-2024,Paraguay,Argentina,2.0,1.0,FIFA World Cup qualification,Paraguay
14-11-2024,North Korea,Iran,2.0,3.0,FIFA World Cup qualification,Iran
14-11-2024,Qatar,Uzbekistan,3.0,2.0,FIFA World Cup qualification,Qatar
14-11-2024,Kuwait,South Korea,1.0,3.0,FIFA World Cup qualification,South Korea
14-11-2024,Iraq,Jordan,0.0,0.0,FIFA World Cup qualification,Draw
14-11-2024,Australia,Saudi Arabia,0.0,0.0,FIFA World Cup qualification,Draw
14-11-2024,Madagascar,Tunisia,2.0,3.0,African Cup of Nations qualification,Tunisia
14-11-2024,Equatorial Guinea,Algeria,0.0,0.0,African Cup of Nations qualification,Draw
14-11-2024,Burkina Faso,Senegal,0.0,1.0,African Cup of Nations qualification,Senegal
15-11-2024,Portugal,Poland,5.0,1.0,UEFA Nations League,Portugal
15-11-2024,Scotland,Croatia,1.0,0.0,UEFA Nations League,Scotland
15-11-2024,Denmark,Spain,1.0,2.0,UEFA Nations League,Spain
15-11-2024,Switzerland,Serbia,1.0,1.0,UEFA Nations League,Draw
15-11-2024,Curaçao,Saint Martin,5.0,0.0,CONCACAF Nations League,Curaçao
15-11-2024,Sint Maarten,Haiti,0.0,8.0,CONCACAF Nations League,Haiti
15-11-2024,Honduras,Mexico,2.0,0.0,CONCACAF Nations League,Honduras
15-11-2024,Suriname,Canada,0.0,1.0,CONCACAF Nations League,Canada
15-11-2024,Uruguay,Colombia,3.0,2.0,FIFA World Cup qualification,Uruguay
15-11-2024,New Zealand,Vanuatu,8.0,1.0,FIFA World Cup qualification,New Zealand
15-11-2024,Indonesia,Japan,0.0,4.0,FIFA World Cup qualification,Japan
15-11-2024,Gabon,Morocco,1.0,5.0,African Cup of Nations qualification,Morocco
15-11-2024,Cape Verde,Egypt,1.0,1.0,African Cup of Nations qualification,Draw
15-11-2024,Angola,Ghana,1.0,1.0,African Cup of Nations qualification,Draw
15-11-2024,Zambia,Ivory Coast,1.0,0.0,African Cup of Nations qualification,Zambia
15-11-2024,Uganda,South Africa,0.0,2.0,African Cup of Nations qualification,South Africa
16-11-2024,Germany,Bosnia and Herzegovina,7.0,0.0,UEFA Nations League,Germany
16-11-2024,Netherlands,Hungary,4.0,0.0,UEFA Nations League,Netherlands
16-11-2024,Albania,Czech Republic,0.0,0.0,UEFA Nations League,Draw
16-11-2024,Turkey,Wales,0.0,0.0,UEFA Nations League,Draw
16-11-2024,Sweden,Slovakia,2.0,1.0,UEFA Nations League,Sweden
16-11-2024,Guinea,DR Congo,1.0,0.0,African Cup of Nations qualification,Guinea
17-11-2024,Israel,Belgium,1.0,0.0,UEFA Nations League,Israel
17-11-2024,Italy,France,1.0,3.0,UEFA Nations League,France
17-11-2024,England,Republic of Ireland,5.0,0.0,UEFA Nations League,England
17-11-2024,Norway,Kazakhstan,5.0,0.0,UEFA Nations League,Norway
17-11-2024,Austria,Slovenia,1.0,1.0,UEFA Nations League,Draw
17-11-2024,Algeria,Liberia,5.0,1.0,African Cup of Nations qualification,Algeria
18-11-2024,Croatia,Portugal,1.0,1.0,UEFA Nations League,Draw
18-11-2024,Poland,Scotland,1.0,2.0,UEFA Nations League,Scotland
18-11-2024,Spain,Switzerland,3.0,2.0,UEFA Nations League,Spain
18-11-2024,Saint Lucia,Curaçao,1.0,4.0,CONCACAF Nations League,Curaçao
18-11-2024,Puerto Rico,Haiti,0.0,3.0,CONCACAF Nations League,Haiti
18-11-2024,Panama,Costa Rica,2.0,2.0,CONCACAF Nations League,Draw
18-11-2024,New Zealand,Samoa,8.0,0.0,FIFA World Cup qualification,New Zealand
18-11-2024,Tunisia,Gambia,0.0,1.0,African Cup of Nations qualification,Gambia
18-11-2024,Morocco,Lesotho,7.0,0.0,African Cup of Nations qualification,Morocco
18-11-2024,Ghana,Niger,1.0,2.0,African Cup of Nations qualification,Niger
19-11-2024,Bosnia and Herzegovina,Netherlands,1.0,1.0,UEFA Nations League,Draw
19-11-2024,Hungary,Germany,1.0,1.0,UEFA Nations League,Draw
19-11-2024,Czech Republic,Georgia,2.0,1.0,UEFA Nations League,Czech Republic
19-11-2024,Montenegro,Turkey,3.0,1.0,UEFA Nations League,Montenegro
19-11-2024,Sweden,Azerbaijan,6.0,0.0,UEFA Nations League,Sweden
19-11-2024,Canada,Suriname,3.0,0.0,CONCACAF Nations League,Canada
19-11-2024,Mexico,Honduras,4.0,0.0,CONCACAF Nations League,Mexico
19-11-2024,Bolivia,Paraguay,2.0,2.0,FIFA World Cup qualification,Draw
19-11-2024,Colombia,Ecuador,0.0,1.0,FIFA World Cup qualification,Ecuador
19-11-2024,Argentina,Peru,1.0,0.0,FIFA World Cup qualification,Argentina
19-11-2024,Brazil,Uruguay,1.0,1.0,FIFA World Cup qualification,Draw
19-11-2024,North Korea,Uzbekistan,0.0,1.0,FIFA World Cup qualification,Uzbekistan
19-11-2024,Kyrgyzstan,Iran,2.0,3.0,FIFA World Cup qualification,Iran
19-11-2024,United Arab Emirates,Qatar,5.0,0.0,FIFA World Cup qualification,United Arab Emirates
19-11-2024,Palestine,South Korea,1.0,1.0,FIFA World Cup qualification,Draw
19-11-2024,Oman,Iraq,0.0,1.0,FIFA World Cup qualification,Iraq
19-11-2024,Kuwait,Jordan,1.0,1.0,FIFA World Cup qualification,Draw
19-11-2024,Bahrain,Australia,2.0,2.0,FIFA World Cup qualification,Draw
19-11-2024,Indonesia,Saudi Arabia,2.0,0.0,FIFA World Cup qualification,Indonesia
19-11-2024,China,Japan,1.0,3.0,FIFA World Cup qualification,Japan
19-11-2024,Egypt,Botswana,1.0,1.0,African Cup of Nations qualification,Draw
19-11-2024,Mauritania,Cape Verde,1.0,0.0,African Cup of Nations qualification,Mauritania
19-11-2024,Ivory Coast,Chad,4.0,0.0,African Cup of Nations qualification,Ivory Coast
19-11-2024,DR Congo,Ethiopia,1.0,2.0,African Cup of Nations qualification,Ethiopia
19-11-2024,South Africa,South Sudan,3.0,0.0,African Cup of Nations qualification,South Africa
19-11-2024,Senegal,Burundi,2.0,0.0,African Cup of Nations qualification,Senegal
21-12-2024,Qatar,United Arab Emirates,1.0,1.0,Gulf Cup,Draw
22-12-2024,Iraq,Yemen,1.0,0.0,Gulf Cup,Iraq
22-12-2024,Saudi Arabia,Bahrain,2.0,3.0,Gulf Cup,Bahrain
24-12-2024,Oman,Qatar,2.0,1.0,Gulf Cup,Oman
25-12-2024,Yemen,Saudi Arabia,2.0,3.0,Gulf Cup,Saudi Arabia
25-12-2024,Bahrain,Iraq,2.0,0.0,Gulf Cup,Bahrain
27-12-2024,Kuwait,Qatar,1.0,1.0,Gulf Cup,Draw
28-12-2024,Iraq,Saudi Arabia,1.0,3.0,Gulf Cup,Saudi Arabia
31-12-2024,Oman,Saudi Arabia,2.0,1.0,Gulf Cup,Oman
22-01-2025,Uzbekistan,Jordan,0.0,0.0,Friendly,Draw
08-02-2025,Chile,Panama,6.0,1.0,Friendly,Chile
14-03-2025,Jordan,North Korea,1.0,1.0,Friendly,Draw
19-03-2025,Liberia,Tunisia,0.0,1.0,FIFA World Cup qualification,Tunisia
19-03-2025,Kazakhstan,Curaçao,2.0,0.0,Friendly,Kazakhstan
20-03-2025,Canada,Mexico,0.0,2.0,CONCACAF Nations League,Mexico
20-03-2025,United States,Panama,0.0,1.0,CONCACAF Nations League,Panama
20-03-2025,Croatia,France,2.0,0.0,UEFA Nations League,Croatia
20-03-2025,Denmark,Portugal,1.0,0.0,UEFA Nations League,Denmark
20-03-2025,Italy,Germany,1.0,2.0,UEFA Nations League,Germany
20-03-2025,Netherlands,Spain,2.0,2.0,UEFA Nations League,Draw
20-03-2025,Austria,Serbia,1.0,1.0,UEFA Nations League,Draw
20-03-2025,Greece,Scotland,0.0,1.0,UEFA Nations League,Scotland
20-03-2025,Turkey,Hungary,3.0,1.0,UEFA Nations League,Turkey
20-03-2025,Ukraine,Belgium,3.0,1.0,UEFA Nations League,Ukraine
20-03-2025,Paraguay,Chile,1.0,0.0,FIFA World Cup qualification,Paraguay
20-03-2025,Brazil,Colombia,2.0,1.0,FIFA World Cup qualification,Brazil
20-03-2025,Iran,United Arab Emirates,2.0,0.0,FIFA World Cup qualification,Iran
20-03-2025,Uzbekistan,Kyrgyzstan,1.0,0.0,FIFA World Cup qualification,Uzbekistan
20-03-2025,Qatar,North Korea,5.0,1.0,FIFA World Cup qualification,Qatar
20-03-2025,South Korea,Oman,1.0,1.0,FIFA World Cup qualification,Draw
20-03-2025,Iraq,Kuwait,2.0,2.0,FIFA World Cup qualification,Draw
20-03-2025,Jordan,Palestine,3.0,1.0,FIFA World Cup qualification,Jordan
20-03-2025,Japan,Bahrain,2.0,0.0,FIFA World Cup qualification,Japan
20-03-2025,Australia,Indonesia,5.0,1.0,FIFA World Cup qualification,Australia
20-03-2025,Saudi Arabia,China,1.0,0.0,FIFA World Cup qualification,Saudi Arabia
20-03-2025,Cape Verde,Mauritius,1.0,0.0,FIFA World Cup qualification,Cape Verde
21-03-2025,Northern Ireland,Switzerland,1.0,1.0,Friendly,Draw
21-03-2025,Ecuador,Venezuela,2.0,1.0,FIFA World Cup qualification,Ecuador
21-03-2025,Uruguay,Argentina,0.0,1.0,FIFA World Cup qualification,Argentina
21-03-2025,New Zealand,Fiji,7.0,0.0,FIFA World Cup qualification,New Zealand
21-03-2025,Ethiopia,Egypt,0.0,2.0,FIFA World Cup qualification,Egypt
21-03-2025,DR Congo,South Sudan,1.0,0.0,FIFA World Cup qualification,DR Congo
21-03-2025,South Africa,Lesotho,0.0,3.0,FIFA World Cup qualification,Lesotho
21-03-2025,Morocco,Niger,2.0,1.0,FIFA World Cup qualification,Morocco
21-03-2025,Burundi,Ivory Coast,0.0,1.0,FIFA World Cup qualification,Ivory Coast
21-03-2025,Botswana,Algeria,1.0,3.0,FIFA World Cup qualification,Algeria
21-03-2025,Ghana,Chad,5.0,0.0,FIFA World Cup qualification,Ghana
21-03-2025,Romania,Bosnia and Herzegovina,0.0,1.0,FIFA World Cup qualification,Bosnia and Herzegovina
21-03-2025,England,Albania,2.0,0.0,FIFA World Cup qualification,England
22-03-2025,Azerbaijan,Haiti,0.0,3.0,Friendly,Haiti
22-03-2025,Luxembourg,Sweden,1.0,0.0,Friendly,Luxembourg
22-03-2025,Sudan,Senegal,0.0,0.0,FIFA World Cup qualification,Draw
22-03-2025,Moldova,Norway,0.0,5.0,FIFA World Cup qualification,Norway
22-03-2025,Czech Republic,Faroe Islands,2.0,1.0,FIFA World Cup qualification,Czech Republic
23-03-2025,United States,Canada,1.0,2.0,CONCACAF Nations League,Canada
23-03-2025,Panama,Mexico,1.0,2.0,CONCACAF Nations League,Mexico
23-03-2025,France,Croatia,2.0,0.0,UEFA Nations League,France
23-03-2025,Germany,Italy,3.0,3.0,UEFA Nations League,Draw
23-03-2025,Portugal,Denmark,5.0,2.0,UEFA Nations League,Portugal
23-03-2025,Spain,Netherlands,3.0,3.0,UEFA Nations League,Draw
23-03-2025,Belgium,Ukraine,3.0,0.0,UEFA Nations League,Belgium
23-03-2025,Hungary,Turkey,0.0,3.0,UEFA Nations League,Turkey
23-03-2025,Scotland,Greece,0.0,3.0,UEFA Nations League,Greece
23-03-2025,Serbia,Austria,2.0,0.0,UEFA Nations League,Serbia
24-03-2025,New Zealand,New Caledonia,3.0,0.0,FIFA World Cup qualification,New Zealand
24-03-2025,Ivory Coast,Gambia,1.0,0.0,FIFA World Cup qualification,Ivory Coast
24-03-2025,Tunisia,Malawi,2.0,0.0,FIFA World Cup qualification,Tunisia
24-03-2025,Madagascar,Ghana,0.0,3.0,FIFA World Cup qualification,Ghana
24-03-2025,Bosnia and Herzegovina,Cyprus,2.0,1.0,FIFA World Cup qualification,Bosnia and Herzegovina
24-03-2025,England,Latvia,3.0,0.0,FIFA World Cup qualification,England
25-03-2025,Sweden,Northern Ireland,5.0,1.0,Friendly,Sweden
25-03-2025,Switzerland,Luxembourg,3.0,1.0,Friendly,Switzerland
25-03-2025,Bolivia,Uruguay,0.0,0.0,FIFA World Cup qualification,Draw
25-03-2025,Colombia,Paraguay,2.0,2.0,FIFA World Cup qualification,Draw
25-03-2025,Argentina,Brazil,4.0,1.0,FIFA World Cup qualification,Argentina
25-03-2025,Chile,Ecuador,0.0,0.0,FIFA World Cup qualification,Draw
25-03-2025,Iran,Uzbekistan,2.0,2.0,FIFA World Cup qualification,Draw
25-03-2025,Kyrgyzstan,Qatar,3.0,1.0,FIFA World Cup qualification,Kyrgyzstan
25-03-2025,South Korea,Jordan,1.0,1.0,FIFA World Cup qualification,Draw
25-03-2025,Palestine,Iraq,2.0,1.0,FIFA World Cup qualification,Palestine
25-03-2025,China,Australia,0.0,2.0,FIFA World Cup qualification,Australia
25-03-2025,Japan,Saudi Arabia,0.0,0.0,FIFA World Cup qualification,Draw
25-03-2025,Egypt,Sierra Leone,1.0,0.0,FIFA World Cup qualification,Egypt
25-03-2025,Mauritania,DR Congo,0.0,2.0,FIFA World Cup qualification,DR Congo
25-03-2025,Senegal,Togo,2.0,0.0,FIFA World Cup qualification,Senegal
