date,team_1,team_2,team_1_score,team_2_score,tournament,winner
12-09-2023,Venezuela,Paraguay,1.0,0.0,FIFA World Cup qualification,Venezuela
12-09-2023,Peru,Brazil,0.0,1.0,FIFA World Cup qualification,Brazil
12-09-2023,Chile,Colombia,0.0,0.0,FIFA World Cup qualification,Draw
12-09-2023,Azerbaijan,Jordan,2.0,1.0,Friendly,Azerbaijan
12-09-2023,Egypt,Tunisia,1.0,3.0,Friendly,Tunisia
12-09-2023,Germany,France,2.0,1.0,Friendly,Germany
12-09-2023,Qatar,Russia,1.0,1.0,Friendly,Draw
12-09-2023,Ghana,Liberia,3.0,1.0,Friendly,Ghana
12-09-2023,Iran,Angola,4.0,0.0,Friendly,Iran
12-09-2023,Japan,Turkey,4.0,2.0,Friendly,Japan
12-09-2023,South Korea,Saudi Arabia,1.0,0.0,Friendly,South Korea
12-09-2023,Mexico,Uzbekistan,3.0,3.0,Friendly,Draw
12-09-2023,Morocco,Burkina Faso,1.0,0.0,Friendly,Morocco
12-09-2023,Scotland,England,1.0,3.0,Friendly,England
12-09-2023,Senegal,Algeria,0.0,1.0,Friendly,Algeria
12-09-2023,South Africa,DR Congo,1.0,0.0,Friendly,South Africa
12-09-2023,Norway,Georgia,2.0,1.0,UEFA Euro qualification,Norway
12-09-2023,Spain,Cyprus,6.0,0.0,UEFA Euro qualification,Spain
12-09-2023,Belgium,Estonia,5.0,0.0,UEFA Euro qualification,Belgium
12-09-2023,Sweden,Austria,1.0,3.0,UEFA Euro qualification,Austria
12-09-2023,Switzerland,Andorra,3.0,0.0,UEFA Euro qualification,Switzerland
12-10-2023,Suriname,Haiti,1.0,1.0,CONCACAF Nations League,Draw
12-10-2023,Colombia,Uruguay,2.0,2.0,FIFA World Cup qualification,Draw
12-10-2023,Bolivia,Ecuador,1.0,2.0,FIFA World Cup qualification,Ecuador
12-10-2023,Argentina,Paraguay,1.0,0.0,FIFA World Cup qualification,Argentina
12-10-2023,Brazil,Venezuela,1.0,1.0,FIFA World Cup qualification,Draw
12-10-2023,Algeria,Cape Verde,5.0,1.0,Friendly,Algeria
12-10-2023,Egypt,Zambia,1.0,0.0,Friendly,Egypt
12-10-2023,Sweden,Moldova,3.0,1.0,Friendly,Sweden
12-10-2023,Spain,Scotland,2.0,0.0,UEFA Euro qualification,Spain
12-10-2023,Cyprus,Norway,0.0,4.0,UEFA Euro qualification,Norway
12-10-2023,Croatia,Turkey,0.0,1.0,UEFA Euro qualification,Turkey
12-10-2023,Albania,Czech Republic,3.0,0.0,UEFA Euro qualification,Albania
13-10-2023,Curaçao,Panama,1.0,2.0,CONCACAF Nations League,Panama
13-10-2023,DR Congo,New Zealand,1.0,1.0,Friendly,Draw
13-10-2023,England,Australia,1.0,0.0,Friendly,England
13-10-2023,Iraq,Qatar,0.0,0.0,Friendly,Draw
13-10-2023,Japan,Canada,4.0,1.0,Friendly,Japan
13-10-2023,South Korea,Tunisia,4.0,0.0,Friendly,South Korea
13-10-2023,Nigeria,Saudi Arabia,2.0,2.0,Friendly,Draw
13-10-2023,South Africa,Eswatini,0.0,0.0,Friendly,Draw
13-10-2023,Vietnam,Uzbekistan,0.0,2.0,Friendly,Uzbekistan
13-10-2023,Netherlands,France,1.0,2.0,UEFA Euro qualification,France
13-10-2023,Austria,Belgium,2.0,3.0,UEFA Euro qualification,Belgium
13-10-2023,Portugal,Slovakia,3.0,2.0,UEFA Euro qualification,Portugal
13-10-2023,Liechtenstein,Bosnia and Herzegovina,0.0,2.0,UEFA Euro qualification,Bosnia and Herzegovina
14-10-2023,Ivory Coast,Morocco,1.0,1.0,Friendly,Draw
14-10-2023,Mexico,Ghana,2.0,0.0,Friendly,Mexico
14-10-2023,United States,Germany,1.0,3.0,Friendly,Germany
15-10-2023,Haiti,Jamaica,2.0,3.0,CONCACAF Nations League,Jamaica
15-10-2023,Norway,Spain,0.0,1.0,UEFA Euro qualification,Spain
15-10-2023,Wales,Croatia,2.0,1.0,UEFA Euro qualification,Wales
15-10-2023,Turkey,Latvia,4.0,0.0,UEFA Euro qualification,Turkey
15-10-2023,Czech Republic,Faroe Islands,1.0,0.0,UEFA Euro qualification,Czech Republic
15-10-2023,Switzerland,Belarus,3.0,3.0,UEFA Euro qualification,Draw
16-10-2023,Algeria,Egypt,1.0,1.0,Friendly,Draw
16-10-2023,China,Uzbekistan,1.0,2.0,Friendly,Uzbekistan
16-10-2023,Senegal,Cameroon,1.0,0.0,Friendly,Senegal
16-10-2023,Greece,Netherlands,0.0,1.0,UEFA Euro qualification,Netherlands
16-10-2023,Azerbaijan,Austria,0.0,1.0,UEFA Euro qualification,Austria
16-10-2023,Belgium,Sweden,1.0,1.0,UEFA Euro qualification,Draw
16-10-2023,Bosnia and Herzegovina,Portugal,0.0,5.0,UEFA Euro qualification,Portugal
17-10-2023,Panama,Guatemala,3.0,0.0,CONCACAF Nations League,Panama
17-10-2023,Curaçao,Trinidad and Tobago,5.0,3.0,CONCACAF Nations League,Curaçao
17-10-2023,Ecuador,Colombia,0.0,0.0,FIFA World Cup qualification,Draw
17-10-2023,Paraguay,Bolivia,1.0,0.0,FIFA World Cup qualification,Paraguay
17-10-2023,Peru,Argentina,0.0,2.0,FIFA World Cup qualification,Argentina
17-10-2023,Uruguay,Brazil,2.0,0.0,FIFA World Cup qualification,Uruguay
17-10-2023,Angola,DR Congo,0.0,0.0,Friendly,Draw
17-10-2023,Australia,New Zealand,2.0,0.0,Soccer Ashes,Australia
17-10-2023,Cape Verde,Comoros,1.0,2.0,Friendly,Comoros
17-10-2023,France,Scotland,4.0,1.0,Friendly,France
17-10-2023,Ivory Coast,South Africa,1.0,1.0,Friendly,Draw
17-10-2023,South Korea,Vietnam,6.0,0.0,Friendly,South Korea
17-10-2023,Mali,Saudi Arabia,3.0,1.0,Friendly,Mali
17-10-2023,Mexico,Germany,2.0,2.0,Friendly,Draw
17-10-2023,United States,Ghana,4.0,0.0,Friendly,United States
17-10-2023,Morocco,Liberia,3.0,0.0,African Cup of Nations qualification,Morocco
17-10-2023,England,Italy,3.0,1.0,UEFA Euro qualification,England
15-11-2023,DR Congo,Mauritania,2.0,0.0,FIFA World Cup qualification,DR Congo
15-11-2023,Belgium,Serbia,1.0,0.0,Friendly,Belgium
15-11-2023,Israel,Switzerland,1.0,1.0,UEFA Euro qualification,Draw
16-11-2023,Costa Rica,Panama,0.0,3.0,CONCACAF Nations League,Panama
16-11-2023,Venezuela,Ecuador,0.0,0.0,FIFA World Cup qualification,Draw
16-11-2023,Colombia,Brazil,2.0,1.0,FIFA World Cup qualification,Colombia
16-11-2023,Argentina,Uruguay,0.0,2.0,FIFA World Cup qualification,Uruguay
16-11-2023,Chile,Paraguay,0.0,0.0,FIFA World Cup qualification,Draw
16-11-2023,Qatar,Afghanistan,8.0,1.0,FIFA World Cup qualification,Qatar
16-11-2023,Japan,Myanmar,5.0,0.0,FIFA World Cup qualification,Japan
16-11-2023,South Korea,Singapore,5.0,0.0,FIFA World Cup qualification,South Korea
16-11-2023,Iran,Hong Kong,4.0,0.0,FIFA World Cup qualification,Iran
16-11-2023,Turkmenistan,Uzbekistan,1.0,3.0,FIFA World Cup qualification,Uzbekistan
16-11-2023,Iraq,Indonesia,5.0,1.0,FIFA World Cup qualification,Iraq
16-11-2023,Tajikistan,Jordan,1.0,1.0,FIFA World Cup qualification,Draw
16-11-2023,Saudi Arabia,Pakistan,4.0,0.0,FIFA World Cup qualification,Saudi Arabia
16-11-2023,Australia,Bangladesh,7.0,0.0,FIFA World Cup qualification,Australia
16-11-2023,Egypt,Djibouti,6.0,0.0,FIFA World Cup qualification,Egypt
16-11-2023,Cape Verde,Angola,0.0,0.0,FIFA World Cup qualification,Draw
16-11-2023,Algeria,Somalia,3.0,1.0,FIFA World Cup qualification,Algeria
16-11-2023,Curaçao,El Salvador,1.0,1.0,Friendly,Draw
16-11-2023,Norway,Faroe Islands,2.0,0.0,Friendly,Norway
16-11-2023,Cyprus,Spain,1.0,3.0,UEFA Euro qualification,Spain
16-11-2023,Georgia,Scotland,2.0,2.0,UEFA Euro qualification,Draw
16-11-2023,Estonia,Austria,0.0,2.0,UEFA Euro qualification,Austria
16-11-2023,Azerbaijan,Sweden,3.0,0.0,UEFA Euro qualification,Azerbaijan
16-11-2023,Liechtenstein,Portugal,0.0,2.0,UEFA Euro qualification,Portugal
16-11-2023,Luxembourg,Bosnia and Herzegovina,4.0,1.0,UEFA Euro qualification,Luxembourg
17-11-2023,Honduras,Mexico,2.0,0.0,CONCACAF Nations League,Honduras
17-11-2023,Ivory Coast,Seychelles,9.0,0.0,FIFA World Cup qualification,Ivory Coast
17-11-2023,Tunisia,São Tomé and Príncipe,4.0,0.0,FIFA World Cup qualification,Tunisia
17-11-2023,Ghana,Madagascar,1.0,0.0,FIFA World Cup qualification,Ghana
17-11-2023,Greece,New Zealand,2.0,0.0,Friendly,Greece
17-11-2023,England,Malta,2.0,0.0,UEFA Euro qualification,England
17-11-2023,Poland,Czech Republic,1.0,1.0,UEFA Euro qualification,Draw
18-11-2023,Jamaica,Canada,1.0,2.0,CONCACAF Nations League,Canada
18-11-2023,Senegal,South Sudan,4.0,0.0,FIFA World Cup qualification,Senegal
