Player_ID,Team_Name,Player_Name,apps,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,rating
145385,Uruguay,Guillermo Varela,33,0,3,1.1428571428571428,1.0396825396825398,0.7857142857142857,0.5238095238095238,0.0714285714285714,0.30158730158730157,0.5873015873015872,6.677142857142857
145392,Sweden,Ken Sema,24,0,1,0.25,0.4583333333333333,0.5,,,0.375,0.75,6.425833333333333
145596,Uzbekistan,Jaloliddin Masharipov,2,0,0,,,,,,,,
145636,Iraq,Fahad Talib,2,0,0,,,,,,,,
146400,Saudi Arabia,Mohammed Al Owais,2,0,0,,,,1.0,,,,7.5
146634,Austria,Alessandro Schöpf,10,0,0,,,,,,0.3333333333333333,,6.096666666666667
146761,Brazil,Léo Pereira,28,1,0,0.9047619047619047,0.47619047619047616,0.369047619047619,0.6190476190476191,,0.0714285714285714,0.34523809523809523,6.918690476190476
148503,England,Ollie Watkins,59,22,5,2.021621621621622,0.7441441441441441,0.6846846846846847,0.9327327327327327,0.6828828828828829,1.2318318318318318,1.9792792792792795,6.650432432432432
202096,Paraguay,Júnior Alonso,29,1,0,0.5,0.65,,0.75,,,0.65,6.1835
202134,Jordan,Ehsan Haddad,6,0,0,,,,,,,,
202136,Jordan,Raja'ei Ayed,5,0,0,,,,,,,,
202180,Egypt,Mohamed El Shenawy,19,0,0,,,,0.4,,,,6.666666666666667
228655,Egypt,Karim Hafez,8,1,0,,,,,,,,6.1
231118,Australia,Cameron Burgess,55,2,0,0.6358695652173914,0.233695652173913,,0.5652173913043478,0.0652173913043478,0.108695652173913,0.34782608695652173,6.968659420289856
231140,Ghana,Derrick Luckassen,22,2,0,0.375,0.125,0.125,0.75,,0.375,0.5,6.9437500000000005
231141,Uruguay,Sergio Rochet,32,0,0,,,,0.2121212121212121,,,0.1666666666666666,6.538939393939394
232278,Tunisia,Ali Abdi,45,5,1,0.9805194805194807,0.6147186147186147,1.0819805194805197,1.3560606060606062,0.2294372294372294,0.6655844155844155,1.6103896103896105,6.452207792207792
235763,Cape Verde,Diney Borges,7,2,0,1.0,,,,,,,8.09
235829,Senegal,Mory Diaw,33,0,1,,0.1,,0.2,,,0.0666666666666666,6.680999999999999
238244,Portugal,Rúben Neves,53,12,2,1.6,1.7999999999999998,0.4,1.0,,0.4,0.6,7.170999999999999
238330,Morocco,Munir El Kajoui,10,0,0,,,,,,,,
238549,Panama,Ismael Díaz,26,7,0,,,,,,,,5.88
238903,Tunisia,Ellyes Skhiri,47,1,0,0.44,0.385,0.3433333333333333,0.42333333333333334,,0.28500000000000003,0.755,6.256287500000001
238916,Spain,Mikel Merino,43,12,3,1.611904761904762,1.2995670995670996,0.19669913419913415,1.24512987012987,0.17640692640692635,0.8449675324675325,1.4099025974025974,6.994398268398268
238940,Ghana,Thomas Partey,41,3,0,0.42000000000000004,0.66,0.32,0.32,,0.44,0.56,6.178000000000001
239872,Ivory Coast,Nicolas Pépé,52,9,9,2.0416666666666665,1.9375,1.462962962962963,1.4097222222222223,0.3888888888888889,1.7314814814814816,1.8703703703703702,6.671574074074074
241604,Iraq,Jalal Hassan,3,0,0,,,,,,,,
243534,Switzerland,Nico Elvedi,46,2,2,0.9242424242424242,0.696969696969697,0.09848484848484845,0.49242424242424243,0.0303030303030303,0.1212121212121212,0.6414141414141414,6.934444444444445
243565,Czechia,Patrik Schick,45,24,4,1.7460317460317463,0.6481481481481481,0.3968253968253968,1.0813492063492065,0.2738095238095237,0.753968253968254,2.1164021164021167,6.852172619047619
243567,Belgium,Hans Vanaken,38,10,5,1.538095238095238,1.519047619047619,0.7619047619047619,0.44285714285714284,,0.5214285714285714,0.8809523809523809,6.930035714285715
244024,Colombia,Álvaro Montero,5,0,0,,,,,,,,
244795,Senegal,Abdoulaye Seck,13,2,0,1.3333333333333333,,,1.0,,0.3333333333333333,0.6666666666666666,7.19
246297,Uzbekistan,Farrukh Sayfiev,4,0,0,,,,,,,,
247454,Norway,Martin Ødegaard,43,3,14,1.6541666666666668,2.09375,1.2249999999999999,0.925,0.29166666666666663,0.9638888888888889,0.8888888888888888,7.166812499999999
247995,Portugal,Gonçalo Guedes,40,10,4,1.4375,0.75,0.5625,1.03125,0.40625,0.75,1.46875,6.63875
248010,Austria,Konrad Laimer,62,5,13,0.6081504702194358,1.3509992163009406,0.846551724137931,0.5279780564263323,0.7844827586206896,1.283228840125392,2.6029780564263323,6.724736677115987
248144,Morocco,Sofyan Amrabat,39,2,0,0.40196078431372545,0.6446078431372548,0.2598039215686274,0.9877450980392157,,0.30882352941176466,0.5416666666666666,6.467303921568627
251134,Croatia,Duje Caleta-Car,39,1,0,0.7407407407407407,0.2222222222222222,,0.48148148148148145,0.037037037037037,0.074074074074074,0.1203703703703703,6.943240740740741
252248,Mexico,Jesús Gallardo,32,5,0,2.0,,,,,1.0,1.0,7.0
252419,Switzerland,Denis Zakaria,38,2,1,1.25,0.25,0.625,0.4861111111111111,,0.7083333333333334,1.7361111111111114,6.568854166666667
254562,Ivory Coast,Seko Fofana,42,7,0,1.3666666666666667,0.9,1.0166666666666666,0.6458333333333333,,0.85,1.1166666666666667,6.567666666666666
254582,Spain,Marcos Llorente,58,4,5,0.8735632183908045,1.2807881773399015,0.5704022988505747,0.6264367816091955,0.22851669403393535,0.735632183908046,1.1194581280788178,6.881344827586207
255182,Ghana,Iñaki Williams,46,6,6,1.45,0.5833333333333334,0.4,0.7166666666666667,0.3333333333333333,1.2333333333333334,1.75,6.283166666666666
