Player_ID,Player_Name,apps,goalOwn,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame
348654,Amine Gouiri,37,0.0,0.5454545454545454,0.1363636363636363,0.7196969696969697,,0.2348484848484848,0.32575757575757575,0.0454545454545454
349207,Rafael Leão,35,0.0,0.603448275862069,0.1724137931034483,0.49425287356321834,,0.2413793103448276,0.6206896551724138,
349669,Anthony Gordon,55,0.0,0.47852564102564105,0.18269230769230765,0.4375,,0.45,0.576068376068376,
349699,Ismail Jakobs,45,0.0,1.471111111111111,0.7,0.91,0.3288888888888889,2.331111111111111,0.3988888888888889,0.18666666666666665
349760,Ferran Torres,58,0.0,0.3560606060606061,0.14696969696969697,0.8484848484848485,,0.21767676767676766,0.2212121212121212,0.16515151515151513
349932,Noussair Mazraoui,32,0.0,3.228571428571428,0.7785714285714285,1.2476190476190476,0.15,3.2809523809523804,0.907142857142857,0.3357142857142857
351339,Ermedin Demirovic,42,0.0,1.2650000000000001,0.04,2.0575,,1.15125,0.4125,0.04
351354,Donyell Malen,61,0.0,0.3492063492063492,0.1878306878306878,0.5333333333333333,,0.4126984126984127,0.24761904761904757,
351744,Stephen Eustaquio,43,0.0,1.2402777777777778,1.0222222222222224,1.22,,1.1458333333333333,1.125,0.18611111111111112
352825,Cody Gakpo,64,0.0,0.8620580808080808,0.5505050505050505,0.9040404040404041,0.0277777777777777,0.3080808080808081,0.2735690235690235,0.1111111111111111
353418,Diogo Dalot,43,0.0,1.7794117647058822,0.7647058823529411,1.3676470588235294,0.5735294117647058,2.5686274509803924,0.8088235294117647,0.2647058823529412
353423,Aurélien Tchouaméni,61,0.0,2.1433566433566433,1.1893939393939394,1.0842074592074593,0.3636363636363636,1.4615384615384617,0.4265734265734265,0.8834498834498835
353698,Roshon van Eijma,37,0.0,,,,,,,
353991,Timothy Weah,49,0.0,1.3275862068965516,0.9573070607553366,1.2937192118226601,0.17487684729064035,1.155993431855501,0.5486453201970443,0.21182266009852213
354283,Noa Lang,47,0.0,0.558974358974359,0.254985754985755,0.5978632478632478,0.20833333333333331,0.3632478632478632,0.3098290598290598,0.0769230769230769
355122,Mark McKenzie,39,0.0,1.5172413793103448,0.8275862068965517,1.206896551724138,0.2758620689655172,3.3793103448275863,0.3793103448275862,0.4482758620689655
355401,Rayan Aït-Nouri,43,0.0,2.011764705882353,0.9462745098039216,1.4533333333333336,0.261437908496732,1.251764705882353,0.31058823529411766,0.2184313725490196
355870,Orkun Kökçü,47,0.0,1.3199999999999998,0.6833333333333332,1.9222222222222223,0.0333333333333333,0.72,0.7958333333333334,0.45
356743,Ozan Kabak,30,0.0,0.9,1.0,1.08,0.45,4.3,0.2,0.56
357073,Antoine Semenyo,61,0.0,0.9133333333333333,0.34836601307189546,1.5313725490196077,,1.0683006535947712,0.6821078431372549,0.2950980392156863
357080,Godfried Roemeratoe,43,0.0,,,,,,,
357091,Deniz Undav,49,0.0,0.4603448275862069,0.1189655172413793,1.2011494252873562,,0.2706896551724138,0.5913793103448276,0.0689655172413793
357133,Marcus Pedersen,36,0.0,0.7931034482758621,0.3448275862068966,1.0689655172413792,0.0689655172413793,0.7931034482758621,0.5172413793103449,0.1379310344827586
357535,Lenny Pintor,18,0.0,1.375,0.4375,0.5,,0.6875,0.8125,0.125
358136,Leverton Pierre,20,0.0,,,,,,,
358782,Mohamed Kanno,6,0.0,1.1,1.2,0.8,,3.0,0.2,1.0
