Player_ID,Player_Name,apps,manOfTheMatch,goal,assistTotal,yellowCard,redCard,shotsPerGame,aerialWonPerGame,passSuccess,rating
136481,Zeki Çelik,49,1,1,4,6.0,1.0,0.5735294117647058,1.0794117647058825,80.46563752075576,6.821666666666666
136644,Aaron Tshibola,20,0,0,0,1.0,1.0,,,,
136741,Bernardo Silva,64,0,5,7,16.0,1.0,0.9512280701754385,0.2517543859649123,90.61118204546776,6.902061403508772
136904,Jhon Córdoba,55,2,25,7,9.0,2.0,2.505952380952381,2.7559523809523805,74.56896551724138,7.21095238095238
137263,Maxime Crépeau,21,2,0,0,2.0,1.0,,0.6,68.96623957405653,6.7421428571428565
137327,Ryan Thomas,29,1,1,1,7.0,0.0,0.5185185185185185,1.2962962962962965,80.7843137254902,6.855925925925926
137521,Nabil Bentaleb,44,1,2,2,5.0,0.0,0.7905982905982906,0.8055555555555556,86.11587238918794,6.587029914529915
138062,Rebin Sulaka,3,0,0,0,1.0,0.0,,,,
138484,Éric Davis,14,0,1,1,1.0,0.0,0.25,1.0,83.91608391608392,6.487500000000001
139186,Lucas Hernández,44,0,0,3,4.0,2.0,0.44,0.76,91.6605876535478,6.3021
139468,Ramy Rabia,18,2,1,0,2.0,0.0,0.5333333333333333,1.5333333333333332,86.79245283018868,6.746333333333333
141169,Timothy Castagne,47,1,0,3,7.0,0.0,0.6583333333333334,1.725,86.61554874877314,7.047666666666667
141392,Joris Kayembe,26,0,0,0,2.0,0.0,0.2222222222222222,0.5416666666666666,86.94922547332186,6.680000000000001
141646,Mike Maignan,49,4,0,0,5.0,0.0,,0.1351351351351351,78.06934199388463,6.649891891891892
141833,Rui Silva,51,0,0,0,5.0,0.0,,0.09232954545454544,84.51397826397826,6.717855113636364
141904,Alex Rufer,25,0,2,0,8.0,0.0,,,,
142431,Garry Rodrigues,16,0,1,0,1.0,0.0,,,,
142959,Lee Jae-Sung,38,0,5,2,4.0,0.0,1.5357142857142856,1.7857142857142856,76.51177450583097,6.558571428571428
143595,Tomás Soucek,43,0,6,0,4.0,1.0,1.3107142857142857,2.6476190476190475,76.58847813318877,6.902392857142856
143611,Yoel Bárcenas,30,1,4,0,2.0,0.0,1.5,0.25,83.33333333333334,6.4325
143695,Breel Embolo,42,3,14,3,4.0,0.0,1.7446236559139785,1.3010752688172045,73.49259941340972,7.111774193548388
143724,Shogo Taniguchi,12,0,0,0,1.0,0.0,,,,
144711,Leroy Sané,51,5,10,9,2.0,1.0,1.9464285714285714,0.35000000000000003,85.76831740234957,7.19010119047619
145264,Ricardo Adé,15,0,0,0,0.0,0.0,,,,
145304,Nikola Vasilj,39,2,0,0,0.0,0.0,,0.4117647058823529,58.59950885517471,6.187352941176471
145385,Guillermo Varela,33,1,0,3,6.0,1.0,0.2857142857142857,0.6746031746031745,87.86293927515301,6.5528571428571425
145392,Ken Sema,25,0,0,1,1.0,0.0,0.25,0.20833333333333331,80.60817547357925,6.425833333333333
145596,Jaloliddin Masharipov,2,0,0,0,0.0,0.0,,,,
145636,Fahad Talib,2,0,0,0,0.0,0.0,,,,
146400,Mohammed Al Owais,2,0,0,0,0.0,0.0,,,,
146634,Alessandro Schöpf,10,0,0,0,1.0,0.0,,0.6666666666666666,80.0,6.096666666666667
146761,Léo Pereira,29,2,1,0,7.0,0.0,0.9047619047619047,1.7738095238095237,93.3581409155482,6.918690476190476
148503,Ollie Watkins,59,6,22,5,4.0,0.0,2.021621621621622,1.01981981981982,87.09882257987941,6.650432432432432
149348,Ulisses Garcia,19,1,1,2,4.0,1.0,0.3846153846153846,0.4038461538461538,85.28636079900124,6.265064102564103
202096,Júnior Alonso,29,0,1,0,7.0,0.0,0.5,2.1,89.58742632612967,6.647
202134,Ehsan Haddad,6,0,0,0,1.0,0.0,,,,
202136,Raja'ei Ayed,5,0,0,0,1.0,0.0,,,,
202180,Mohamed El Shenawy,20,1,0,0,1.0,0.0,,0.6666666666666666,72.08237986270024,6.666666666666667
228655,Karim Hafez,8,0,1,0,0.0,0.0,,,,
231118,Cameron Burgess,55,3,2,0,8.0,0.0,0.6358695652173914,3.510869565217391,82.11255271618299,6.787989130434783
231140,Derrick Luckassen,22,2,2,0,8.0,0.0,0.375,2.75,78.33827893175074,6.9437500000000005
231141,Sergio Rochet,33,0,0,0,1.0,0.0,,0.21969696969696967,65.57843711367038,6.538939393939394
232278,Ali Abdi,45,1,5,1,2.0,1.0,0.9805194805194807,1.3939393939393938,74.87466022349743,6.656277056277056
235763,Diney Borges,7,0,2,0,1.0,0.0,,,,
235829,Mory Diaw,33,3,0,1,1.0,0.0,,0.1666666666666666,72.17659137577002,6.680999999999999
238244,Rúben Neves,53,2,12,2,7.0,0.0,1.6,0.7,92.19328625016996,7.170999999999999
238330,Munir El Kajoui,11,0,0,0,1.0,0.0,,,,
238549,Ismael Díaz,26,0,7,0,2.0,0.0,,,100.0,5.88
238903,Ellyes Skhiri,47,0,1,0,1.0,1.0,0.44,0.695,87.86434404389843,6.5117166666666675
238916,Mikel Merino,43,2,12,3,6.0,0.0,1.7648809523809523,2.023538961038961,79.81625254261294,7.117997835497835
238940,Thomas Partey,41,0,3,0,5.0,0.0,0.42000000000000004,0.38,84.62927443282285,6.178000000000001
239872,Nicolas Pépé,52,8,9,9,6.0,0.0,2.0625,0.3125,79.88738873289921,6.942361111111111
241604,Jalal Hassan,3,0,0,0,0.0,0.0,,,,
243534,Nico Elvedi,46,2,2,2,5.0,0.0,0.38636363636363635,2.053030303030303,93.40280409245926,7.066666666666666
243565,Patrik Schick,45,5,24,4,2.0,0.0,1.7460317460317463,2.1507936507936507,69.349506225848,6.852172619047619
243567,Hans Vanaken,38,2,10,5,3.0,0.0,1.538095238095238,2.4,87.19410434121676,7.243380952380953
244024,Álvaro Montero,5,0,0,0,0.0,0.0,,,,
244795,Abdoulaye Seck,13,1,2,0,1.0,0.0,1.3333333333333333,3.0,86.4406779661017,7.19
246297,Farrukh Sayfiev,4,0,0,0,0.0,0.0,,,,
247454,Martin Ødegaard,43,3,3,14,0.0,0.0,1.6541666666666668,0.19166666666666665,85.9131017320531,7.166812499999999
247995,Gonçalo Guedes,40,1,10,4,5.0,0.0,1.4375,0.34375,74.69026548672566,6.63875
248010,Konrad Laimer,62,0,5,13,17.0,1.0,0.6081504702194358,0.5099921630094044,87.2246303830904,6.724736677115987
248144,Sofyan Amrabat,40,0,2,0,10.0,0.0,0.40196078431372545,0.7671568627450981,90.62197832083585,6.467303921568627
251134,Duje Caleta-Car,39,1,1,0,9.0,1.0,0.7407407407407407,3.138888888888889,91.59987140554605,6.943240740740741
252248,Jesús Gallardo,32,0,5,0,6.0,0.0,2.0,3.0,75.55555555555556,7.0
252419,Denis Zakaria,38,1,2,1,8.0,1.0,0.875,0.7291666666666667,93.46233536397119,6.471805555555555
254562,Seko Fofana,42,1,7,0,1.0,0.0,0.7083333333333334,0.4583333333333333,89.7401272613137,6.552083333333334
254582,Marcos Llorente,58,1,4,5,8.0,1.0,0.8735632183908045,0.24986316365626707,90.0591439613203,6.799181034482759
255182,Iñaki Williams,46,1,6,6,2.0,0.0,1.45,0.8333333333333333,63.62478777589135,6.283166666666666
256419,Ché Adams,46,1,12,2,1.0,0.0,1.7020202020202018,0.7045454545454546,77.31674091939392,6.468080808080809
258840,Ugurcan Çakir,48,4,0,0,7.0,0.0,,0.6933333333333332,70.8497788199007,6.953973333333333
259042,Borja Iglesias,55,0,16,3,7.0,1.0,1.4551892551892553,0.5021978021978022,71.16568595401547,6.348847374847375
259648,Benjamin Pavard,36,0,1,2,9.0,0.0,0.9351851851851851,1.654320987654321,92.00768290220358,6.687916666666666
260770,Alexander Nübel,50,2,0,2,0.0,0.0,,0.25401069518716574,71.41673876701773,6.609131016042781
260819,Akram Afif,7,0,5,0,1.0,0.0,,,,
261021,Nadiem Amiri,35,3,15,2,7.0,1.0,2.0576923076923075,0.4615384615384615,83.4962067635335,6.929615384615383
261143,Juninho Bacuna,34,0,1,2,5.0,0.0,1.0811965811965811,1.5299145299145298,75.26783261606079,6.43991452991453
261212,Dani Olmo,56,2,9,9,4.0,0.0,1.807070707070707,0.503030303030303,86.76427941813098,6.827585858585859
261474,Martin Erlic,27,2,6,1,7.0,0.0,0.9375,3.5,87.20565149136578,7.8375
262702,Dostonbek Khamdamov,2,0,0,0,0.0,0.0,,,,
262707,Eldor Shomurodov,45,4,23,5,1.0,0.0,2.794117647058824,0.9705882352941176,75.70469798657719,7.155
262854,Hwang Hee-Chan,36,0,4,3,6.0,0.0,1.8653846153846154,0.282051282051282,83.4114959114959,6.33405982905983
262856,Xaver Schlager,38,0,3,1,6.0,0.0,0.6038461538461539,0.8423076923076923,91.17156647652479,6.434051282051281
271592,Cristian Roldan,24,3,4,1,2.0,0.0,1.833333333333333,1.5833333333333333,87.51413494157558,7.097083333333332
273229,Cyle Larin,34,0,3,1,5.0,0.0,1.3335714285714286,0.9757142857142856,77.4085684430512,6.427828571428572
274624,Otabek Shukurov,3,0,0,0,1.0,0.0,,,,
275858,Álex Zendejas,11,0,3,0,0.0,0.0,,,,
276366,David Raya,54,3,0,0,1.0,0.0,,0.20656370656370654,65.00515318039933,6.900250965250965
